Date,BTC,ISM,M2
2023-01-01,30124.56,52.34,100.12
2023-01-02,30287.91,52.41,100.23
2023-01-03,30456.23,52.38,100.35
2023-01-04,30398.45,52.45,100.48
2023-01-05,30612.78,52.52,100.61
2023-01-06,30789.12,52.59,100.74
2023-01-07,30921.34,52.56,100.87
2023-01-08,31045.67,52.63,101.01
2023-01-09,31234.89,52.70,101.14
2023-01-10,31387.23,52.67,101.28
2023-01-11,31512.45,52.74,101.42
2023-01-12,31678.90,52.81,101.56
2023-01-13,31823.12,52.78,101.70
2023-01-14,31967.45,52.85,101.85
2023-01-15,32134.78,52.92,101.99
2023-01-16,32289.01,52.89,102.14
2023-01-17,32456.23,52.96,102.29
2023-01-18,32612.45,53.03,102.44
2023-01-19,32789.67,53.00,102.59
2023-01-20,32934.89,53.07,102.74
2023-01-21,33098.12,53.14,102.90
2023-01-22,33245.34,53.11,103.05
2023-01-23,33412.56,53.18,103.21
2023-01-24,33567.78,53.25,103.37
2023-01-25,33734.01,53.22,103.53
2023-01-26,33889.23,53.29,103.69
2023-01-27,34056.45,53.36,103.85
2023-01-28,34212.67,53.33,104.01
2023-01-29,34378.90,53.40,104.18
2023-01-30,34534.12,53.47,104.34
2023-01-31,34701.34,53.44,104.51
2023-02-01,34867.56,53.51,104.68
2023-02-02,35023.78,53.58,104.85
2023-02-03,35189.01,53.55,105.02
2023-02-04,35345.23,53.62,105.19
2023-02-05,35512.45,53.69,105.36
2023-02-06,35678.67,53.66,105.54
2023-02-07,35834.89,53.73,105.71
2023-02-08,36001.12,53.80,105.89
2023-02-09,36167.34,53.77,106.07
2023-02-10,36323.56,53.84,106.25
2023-02-11,36489.78,53.91,106.43
2023-02-12,36656.01,53.88,106.61
2023-02-13,36812.23,53.95,106.79
2023-02-14,36978.45,54.02,106.98
2023-02-15,37144.67,53.99,107.16
2023-02-16,37300.89,54.06,107.35
2023-02-17,37467.12,54.13,107.54
2023-02-18,37633.34,54.10,107.73
2023-02-19,37789.56,54.17,107.92
2023-02-20,37955.78,54.24,108.11
2023-02-21,38122.01,54.21,108.30
2023-02-22,38278.23,54.28,108.50
2023-02-23,38444.45,54.35,108.69
2023-02-24,38610.67,54.32,108.89
2023-02-25,38766.89,54.39,109.09
2023-02-26,38933.12,54.46,109.29
2023-02-27,39099.34,54.43,109.49
2023-02-28,39255.56,54.50,109.69
2023-03-01,39421.78,54.57,109.89
2023-03-02,39588.01,54.54,110.10
2023-03-03,39744.23,54.61,110.30
2023-03-04,39910.45,54.68,110.51
2023-03-05,40076.67,54.65,110.72
2023-03-06,40232.89,54.72,110.93
2023-03-07,40399.12,54.79,111.14
2023-03-08,40565.34,54.76,111.35
2023-03-09,40721.56,54.83,111.56
2023-03-10,40887.78,54.90,111.78
2023-03-11,41054.01,54.87,111.99
2023-03-12,41210.23,54.94,112.21
2023-03-13,41376.45,55.01,112.43
2023-03-14,41542.67,54.98,112.65
2023-03-15,41698.89,55.05,112.87
2023-03-16,41865.12,55.12,113.09
2023-03-17,42031.34,55.09,113.31
2023-03-18,42187.56,55.16,113.53
2023-03-19,42353.78,55.23,113.76
2023-03-20,42520.01,55.20,113.98
2023-03-21,42676.23,55.27,114.21
2023-03-22,42842.45,55.34,114.44
2023-03-23,43008.67,55.31,114.67
2023-03-24,43164.89,55.38,114.90
2023-03-25,43331.12,55.45,115.13
2023-03-26,43497.34,55.42,115.36
2023-03-27,43653.56,55.49,115.60
2023-03-28,43819.78,55.56,115.83
2023-03-29,43986.01,55.53,116.07
2023-03-30,44142.23,55.60,116.31
2023-03-31,44308.45,55.67,116.55
2023-04-01,44474.67,55.64,116.79
2023-04-02,44630.89,55.71,117.03
2023-04-03,44797.12,55.78,117.27
2023-04-04,44963.34,55.75,117.52
2023-04-05,45119.56,55.82,117.76
2023-04-06,45285.78,55.89,118.01
2023-04-07,45452.01,55.86,118.26
2023-04-08,45608.23,55.93,118.51
2023-04-09,45774.45,56.00,118.76
2023-04-10,45940.67,55.97,119.01
2023-04-11,46096.89,56.04,119.26
2023-04-12,46263.12,56.11,119.52
2023-04-13,46429.34,56.08,119.77
2023-04-14,46585.56,56.15,120.03
2023-04-15,46751.78,56.22,120.29
2023-04-16,46918.01,56.19,120.55
2023-04-17,47074.23,56.26,120.81
2023-04-18,47240.45,56.33,121.07
2023-04-19,47406.67,56.30,121.33
2023-04-20,47562.89,56.37,121.60
2023-04-21,47729.12,56.44,121.86
2023-04-22,47895.34,56.41,122.13
2023-04-23,48051.56,56.48,122.40
2023-04-24,48217.78,56.55,122.67
2023-04-25,48384.01,56.52,122.94
2023-04-26,48540.23,56.59,123.21
2023-04-27,48706.45,56.66,123.48
2023-04-28,48872.67,56.63,123.76
2023-04-29,49028.89,56.70,124.03
2023-04-30,49195.12,56.77,124.31
2023-05-01,49361.34,56.74,124.59
2023-05-02,49517.56,56.81,124.87
2023-05-03,49683.78,56.88,125.15
2023-05-04,49850.01,56.85,125.43
2023-05-05,50006.23,56.92,125.72
2023-05-06,50172.45,56.99,126.00
2023-05-07,50338.67,56.96,126.29
2023-05-08,50494.89,57.03,126.58
2023-05-09,50661.12,57.10,126.87
2023-05-10,50827.34,57.07,127.16
2023-05-11,50983.56,57.14,127.45
2023-05-12,51149.78,57.21,127.74
2023-05-13,51316.01,57.18,128.04
2023-05-14,51472.23,57.25,128.33
2023-05-15,51638.45,57.32,128.63
2023-05-16,51804.67,57.29,128.93
2023-05-17,51960.89,57.36,129.23
2023-05-18,52127.12,57.43,129.53
2023-05-19,52293.34,57.40,129.84
2023-05-20,52449.56,57.47,130.14
2023-05-21,52615.78,57.54,130.45
2023-05-22,52782.01,57.51,130.76
2023-05-23,52938.23,57.58,131.07
